No subject will appear here,FY BA
Mass Communication,FY B Com
Life Sciences,FY B Sc
Comp. Sci,FY B Sc CS
B.T.,FY B Sc BT
Mathematics,F.Y.B.Sc. IT
BMM,F.Y.
B.T.M.,SY B Sc
B.E.M. ,SY B Sc CS
B.F.T.M.,SY B Sc BT
F.T.N.M.P.,S.Y.B.Sc. IT
BVOC,S.Y.
B.F.M.,SY BA
B.M.M.,SY B Com
B.B.I.,T.Y.B.Com
B.M.S.,T.Y.B.A.
B.A.F.,T.Y.B.A.
Economics,T.Y.B.A.
Commerce,T.Y.B.Sc. 
English,M.A. Part I 
Hindi,M.S.C. Part I
Marathi,M.S.C. Part II
Sanskrit,M.Com. Part II
Maths,M.Com. Part I
Statistics ,M.A. Part II 
Political Science,FE
History,SE
Geography,TE
Philosophy,BE
Psychology,
Mass Media,
Information Technology,
Computer Science,
Bio-Technology,
Physics,
Chemistry,
Botany,
Zoology,
Life Science,
Micro-Biology,
Bio-Chemistry,
Production,
ET,
Data Analytics,
Accounting & Finance,
Banking & Insurance,
Financial Management  Market,
E-Commerce,
Transport Management,
BMS,
CHEM,
IT,
ETRX,
EXTC,
BIO MED,
Comps,
